,molecule_chembl_id,Ki,units,smiles,pKi
0,CHEMBL2419149,0.0042,nM,N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(Br)cc1,11.3767507096021
1,CHEMBL2419144,0.0047,nM,N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(F)cc1,11.327902142064282
2,CHEMBL1093479,0.0082,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(I)c1,11.086186147616283
3,CHEMBL2419139,0.01,nM,CCn1c(/N=C/c2ccc(Br)cc2)c(C#N)sc1=S,11.0
4,CHEMBL1092271,0.016,nM,C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,10.795880017344075
5,CHEMBL2419146,0.027,nM,CCCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,10.568636235841012
6,CHEMBL336608,0.03,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4c[nH]cn4)nc32)[C@H](O)[C@@H]1O,10.522878745280337
7,CHEMBL2419147,0.03,nM,CCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,10.522878745280337
8,CHEMBL1090578,0.038,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,10.42021640338319
9,CHEMBL3121727,0.042,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCCn4ccnc4)cc3)nc2n(C)c1=O,10.3767507096021
10,CHEMBL3121725,0.045,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCCCl)cc3)nc2n(C)c1=O,10.346787486224656
11,CHEMBL136689,0.048,nM,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,10.318758762624412
12,CHEMBL337080,0.05,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@H]4CC[C@H](N)CC4)nc32)[C@H](O)[C@@H]1O.O=C(O)C(F)(F)F,10.301029995663981
13,CHEMBL2419150,0.067,nM,N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1,10.173925197299173
14,CHEMBL3121726,0.072,nM,Cn1c(=O)c2[nH]c(-c3ccc(OC4CCCC4)cc3)nc2n(C)c1=O,10.142667503568731
15,CHEMBL131242,0.08,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCN4CCCCC4)nc32)[C@H](O)[C@@H]1O.O=C(O)C(F)(F)F,10.096910013008056
16,CHEMBL245848,0.1,nM,COc1ccc(N2CCN(CCn3cnc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,10.0
17,CHEMBL130830,0.1,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N[C@@H]4CCC[C@H]4O)nc32)[C@H](O)[C@@H]1O,10.0
18,CHEMBL1092270,0.12,nM,CCCCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,9.920818753952375
19,CHEMBL3121728,0.12,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCCN4CCN(Cc5ccccc5Cl)CC4)cc3)nc2n(C)c1=O,9.920818753952375
20,CHEMBL22202,0.12,nM,Nc1nc2c(cnn2CCc2ccc(N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,9.920818753952375
21,CHEMBL22320,0.13,nM,NCc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.886056647693163
22,CHEMBL2419140,0.14,nM,N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(Cl)cc1,9.853871964321762
23,CHEMBL1090577,0.152,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccc(Cl)cc1,9.818156412055227
24,CHEMBL131457,0.16,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@@H]4CCC[C@H]4O)nc32)[C@H](O)[C@@H]1O,9.795880017344075
25,CHEMBL4457393,0.17,nM,COc1c(C)cc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1C,9.769551078621726
26,CHEMBL423542,0.18,nM,Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.744727494896694
27,CHEMBL2112948,0.18,nM,N/C(=N\O)c1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.744727494896694
28,CHEMBL282888,0.19,nM,Nc1nc2c(cnn2CCCc2ccc3c(c2)OC(CO)(CO)O3)c2nc(-c3ccco3)nn12,9.721246399047171
29,CHEMBL255739,0.2,nM,Cc1cc(C)n(-c2cc(NC(=O)Cc3ccc(CN(C)C)cc3)nc(-c3ccc(C)o3)n2)n1,9.698970004336019
30,CHEMBL3765379,0.2,nM,Nc1nc(C(=O)NCc2cccc3cccnc23)c2cccc(OC(F)(F)F)c2n1,9.698970004336019
31,CHEMBL4212821,0.2,nM,Cn1c(=O)n(CCN2CCN(c3ccc(OC4CCOC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.698970004336019
32,CHEMBL487569,0.2,nM,COc1cc(OC)cc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,9.698970004336019
33,CHEMBL3121724,0.2,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCCC4)cc3)nc2n(C)c1=O,9.698970004336019
34,CHEMBL3973920,0.2,nM,COc1cccc2c(C(=O)NCc3cccc(COc4ccccc4F)n3)nc(N)nc12,9.698970004336019
35,CHEMBL373700,0.2,nM,Nc1nc(N2CCN3C[C@@H](COc4cccc(F)c4)CC[C@H]3C2)nc2nc(-c3ccco3)nn12,9.698970004336019
36,CHEMBL429125,0.2,nM,COc1cc(CN(C)C)ccc1OCC(=O)Nc1cc(-n2nc(C)cc2C)nc(-c2ccc(C)o2)n1,9.698970004336019
37,CHEMBL3960148,0.2,nM,COc1cccc2c(C(=O)NCc3cccc(C4CCC4)n3)nc(N)nc12,9.698970004336019
38,CHEMBL3923709,0.2,nM,COc1cccc2c(C(=O)NCc3cccc(C(C)C)n3)nc(N)nc12,9.698970004336019
39,CHEMBL3765580,0.2,nM,COc1cccc2c(C(=O)NCc3cccc4cccnc34)nc(N)nc12,9.698970004336019
40,CHEMBL281805,0.22,nM,Nc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.657577319177793
41,CHEMBL4162638,0.24,nM,Nc1nc(NCCc2cccnc2)nc2sc(-c3ccco3)nc12,9.619788758288394
42,CHEMBL3121721,0.25,nM,CCN(CC)CCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,9.602059991327963
43,CHEMBL4159215,0.25,nM,Nc1nc(NCc2ccsc2)nc2sc(-c3ccco3)nc12,9.602059991327963
44,CHEMBL485765,0.26,nM,CC(=O)Nc1cc(-c2cccc(N3CCCC3)n2)nc(-n2nc(C)cc2C)n1,9.585026652029182
45,CHEMBL3121722,0.29,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCC4CCNCC4)cc3)nc2n(C)c1=O,9.537602002101044
46,CHEMBL404863,0.3,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3ccc(CN(C)C)cc3)nc(-c3ccc(C)o3)n2)n1,9.522878745280337
47,CHEMBL3763717,0.3,nM,Nc1nc(C(=O)NCc2cccc3cccnc23)c2ccc(F)cc2n1,9.522878745280337
48,CHEMBL480542,0.3,nM,CN(CCN1CCN(c2ccc(F)cc2F)CC1)c1cc2nc(-c3cnco3)nn2c(N)n1,9.522878745280337
