,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
0,38792,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL132806,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
1,38792,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL132806,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
2,39908,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL336217,=,nM,42.0,CHEMBL251,Homo sapiens,Ki,nM,42.0
3,41114,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL134566,=,nM,60.0,CHEMBL251,Homo sapiens,Ki,nM,60.0
4,41122,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL435022,=,nM,38.0,CHEMBL251,Homo sapiens,Ki,nM,38.0
5,41130,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341376,=,nM,423.0,CHEMBL251,Homo sapiens,Ki,nM,423.0
6,44701,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL138593,=,nM,45.0,CHEMBL251,Homo sapiens,Ki,nM,45.0
7,44709,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL324735,=,nM,381.0,CHEMBL251,Homo sapiens,Ki,nM,381.0
8,54814,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL16867,=,nM,0.31,CHEMBL251,Homo sapiens,Ki,nM,0.31
9,59775,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL335950,=,nM,800.0,CHEMBL251,Homo sapiens,Ki,nM,800.0
10,61247,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL541455,=,nM,60.0,CHEMBL251,Homo sapiens,Ki,nM,60.0
11,67380,CHEMBL649782,Binding affinity for human Adenosine A2A receptor from HEK293 cells,B,CHEMBL16687,=,nM,1.7,CHEMBL251,Homo sapiens,Ki,uM,0.0017
12,68972,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341777,=,nM,40.0,CHEMBL251,Homo sapiens,Ki,nM,40.0
13,70348,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL135719,=,nM,55.0,CHEMBL251,Homo sapiens,Ki,nM,55.0
14,85402,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL61259,=,nM,600.0,CHEMBL251,Homo sapiens,Ki,uM,0.6
15,90287,CHEMBL641568,Displacement of [3H]-CGS- 21680 from A2A receptor in human brain membrane,B,CHEMBL287321,=,nM,22500.0,CHEMBL251,Homo sapiens,Ki,nM,22500.0
16,91358,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL464859,=,nM,20.0,CHEMBL251,Homo sapiens,Ki,uM,0.02
17,100321,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL3350496,=,nM,46600.0,CHEMBL251,Homo sapiens,Ki,uM,46.6
18,183859,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113189,=,nM,277.0,CHEMBL251,Homo sapiens,Ki,nM,277.0
19,183861,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112195,=,nM,35.0,CHEMBL251,Homo sapiens,Ki,nM,35.0
20,183863,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113541,=,nM,23.0,CHEMBL251,Homo sapiens,Ki,nM,23.0
21,184804,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261453,=,nM,163.0,CHEMBL251,Homo sapiens,Ki,nM,163.0
22,186289,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258535,=,nM,64.0,CHEMBL251,Homo sapiens,Ki,nM,64.0
23,187518,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL574597,=,nM,8530.0,CHEMBL251,Homo sapiens,Ki,nM,8530.0
