,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL2419149,0.0042,nM,N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(Br)cc1,11.3767507096021,398.94995142,5,0,5.653070000000002,True
1,CHEMBL2419144,0.0047,nM,N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(F)cc1,11.327902142064282,339.03001753999996,5,0,5.029670000000002,True
2,CHEMBL1093479,0.0082,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(I)c1,11.086186147616283,476.921499876,8,0,4.723790000000002,True
3,CHEMBL2419139,0.01,nM,CCn1c(/N=C/c2ccc(Br)cc2)c(C#N)sc1=S,11.0,350.94995142,5,0,4.683770000000003,True
4,CHEMBL1092271,0.016,nM,C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,10.795880017344077,315.024851908,8,0,3.315990000000001,True
5,CHEMBL2419146,0.027,nM,CCCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,10.568636235841012,319.06131766799996,5,0,4.840570000000003,True
7,CHEMBL2419147,0.03,nM,CCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,10.522878745280336,305.04566760399996,5,0,4.450470000000003,True
8,CHEMBL1090578,0.038,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,10.42021640338319,384.985879556,8,0,4.772590000000003,True
9,CHEMBL3121727,0.042,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCCn4ccnc4)cc3)nc2n(C)c1=O,10.3767507096021,380.1596885,8,1,1.2929,True
10,CHEMBL3121725,0.045,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCCCl)cc3)nc2n(C)c1=O,10.346787486224656,348.09891808400005,6,1,1.6349999999999998,True
11,CHEMBL136689,0.048,nM,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,10.318758762624412,389.160022848,9,1,2.9576000000000002,True
13,CHEMBL2419150,0.067,nM,N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1,10.173925197299171,426.981251548,5,0,5.906570000000003,True
14,CHEMBL3121726,0.072,nM,Cn1c(=O)c2[nH]c(-c3ccc(OC4CCCC4)cc3)nc2n(C)c1=O,10.142667503568733,340.15354049999996,6,1,1.9486999999999997,True
